,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0,0 days 00:17:36.950000,VER,1,,1.0,1.0,0 days 00:15:28.695000,,,0 days 00:00:56.455000,0 days 00:00:46.916000,,0 days 00:16:50.096000,0 days 00:17:36.950000,270.0,179.0,223.0,179.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:15:28.695000,2022-11-19 14:04:57.847,1,,False,,False,False
1,0 days 00:19:01.704000,VER,1,84.754,2.0,1.0,,,0 days 00:00:17.354000,0 days 00:00:36.456000,0 days 00:00:30.944000,0 days 00:17:54.304000,0 days 00:18:30.760000,0 days 00:19:01.704000,290.0,322.0,217.0,329.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:17:36.950000,2022-11-19 14:07:06.102,1,,False,,False,True
2,0 days 00:20:53.787000,VER,1,112.083,3.0,1.0,,0 days 00:20:52.684000,0 days 00:00:25.756000,0 days 00:00:45.865000,0 days 00:00:40.462000,0 days 00:19:27.460000,0 days 00:20:13.325000,0 days 00:20:53.787000,161.0,227.0,,213.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:19:01.704000,2022-11-19 14:08:30.856,2,,False,,False,False
3,0 days 00:27:39.159000,VER,1,,4.0,2.0,0 days 00:24:41.559000,,,0 days 00:00:58.121000,0 days 00:01:28.942000,,0 days 00:26:10.217000,0 days 00:27:39.280000,168.0,179.0,219.0,179.0,False,SOFT,4.0,False,Red Bull Racing,0 days 00:20:53.787000,2022-11-19 14:10:22.939,1,,False,,False,False
4,0 days 00:29:28.687000,VER,1,109.528,5.0,2.0,,0 days 00:29:27.502000,0 days 00:00:21.828000,0 days 00:00:45.618000,0 days 00:00:42.082000,0 days 00:28:00.987000,0 days 00:28:46.605000,0 days 00:29:28.687000,266.0,234.0,,232.0,False,SOFT,5.0,False,Red Bull Racing,0 days 00:27:39.159000,2022-11-19 14:17:08.311,1,,False,,False,False
5,0 days 00:41:05.934000,VER,1,,6.0,3.0,0 days 00:38:59.716000,,,0 days 00:00:54.253000,0 days 00:00:47.052000,,0 days 00:40:18.890000,0 days 00:41:05.952000,179.0,179.0,223.0,179.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:29:28.687000,2022-11-19 14:18:57.839,1,,False,,False,False
6,0 days 00:42:30.796000,VER,1,84.862,7.0,3.0,,,0 days 00:00:17.406000,0 days 00:00:36.429000,0 days 00:00:31.027000,0 days 00:41:23.340000,0 days 00:41:59.769000,0 days 00:42:30.796000,290.0,324.0,218.0,329.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:41:05.934000,2022-11-19 14:30:35.086,1,,False,,False,True
7,0 days 00:44:19.794000,VER,1,108.998,8.0,3.0,,0 days 00:44:18.668000,0 days 00:00:21.766000,0 days 00:00:46.133000,0 days 00:00:41.099000,0 days 00:42:52.562000,0 days 00:43:38.695000,0 days 00:44:19.794000,236.0,182.0,,235.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:42:30.796000,2022-11-19 14:31:59.948,1,,False,,False,False
8,0 days 00:49:30.259000,VER,1,,9.0,4.0,0 days 00:47:11.581000,,,0 days 00:00:56.962000,0 days 00:00:55.154000,,0 days 00:48:35.139000,0 days 00:49:30.422000,175.0,179.0,223.0,179.0,False,SOFT,4.0,False,Red Bull Racing,0 days 00:44:19.794000,2022-11-19 14:33:48.946,1,,False,,False,False
9,0 days 00:50:54.881000,VER,1,84.622,10.0,4.0,,,0 days 00:00:17.398000,0 days 00:00:36.433000,0 days 00:00:30.791000,0 days 00:49:47.657000,0 days 00:50:24.090000,0 days 00:50:54.881000,289.0,323.0,219.0,328.0,True,SOFT,5.0,False,Red Bull Racing,0 days 00:49:30.259000,2022-11-19 14:38:59.411,1,,False,,False,True
10,0 days 00:52:42.730000,VER,1,107.849,11.0,4.0,,0 days 00:52:41.622000,0 days 00:00:20.857000,0 days 00:00:45.825000,0 days 00:00:41.167000,0 days 00:51:15.738000,0 days 00:52:01.563000,0 days 00:52:42.730000,237.0,198.0,,218.0,False,SOFT,6.0,False,Red Bull Racing,0 days 00:50:54.881000,2022-11-19 14:40:24.033,1,,False,,False,False
11,0 days 01:01:52.105000,VER,1,,12.0,5.0,0 days 00:59:50.269000,,,0 days 00:00:50.456000,0 days 00:00:48.444000,,0 days 01:01:03.679000,0 days 01:01:52.105000,267.0,199.0,225.0,199.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:52:42.730000,2022-11-19 14:42:11.882,1,,False,,False,False
12,0 days 01:03:16.093000,VER,1,83.988,13.0,5.0,,,0 days 00:00:17.292000,0 days 00:00:36.176000,0 days 00:00:30.520000,0 days 01:02:09.397000,0 days 01:02:45.573000,0 days 01:03:16.093000,291.0,322.0,219.0,328.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:01:52.105000,2022-11-19 14:51:21.257,1,,False,,False,True
13,0 days 01:05:04.505000,VER,1,108.412,14.0,5.0,,0 days 01:05:03.370000,0 days 00:00:22.545000,0 days 00:00:45.014000,0 days 00:00:40.853000,0 days 01:03:38.638000,0 days 01:04:23.652000,0 days 01:05:04.505000,244.0,213.0,,225.0,False,SOFT,3.0,True,Red Bull Racing,0 days 01:03:16.093000,2022-11-19 14:52:45.245,1,,False,,False,False
14,0 days 01:09:14.138000,VER,1,,15.0,6.0,0 days 01:07:15.941000,,,0 days 00:00:51.473000,0 days 00:00:39.953000,,0 days 01:08:34.203000,0 days 01:09:14.295000,225.0,199.0,226.0,199.0,False,SOFT,1.0,True,Red Bull Racing,0 days 01:05:04.505000,2022-11-19 14:54:33.657,1,,False,,False,False
